CASE_NUM;PRESSMARK;TITLE;UOM;VOLUME;CARD_NUM;OBJ_NAME;ACTIVITY_TYPE;OBJ_TYPE;OBJ_GROUP;EXAMINATION_DATE
МГЭ/23772-3/5;0.0-0-0;МАССА МУСОРА;т;3,6792;77-10073/20-(0)-0;Капитальный ремонт многоквартирного дома (корректировка). г. Москва, улица 1812 Года, д. 3 (ЗАО, Дорогомилово);Капитальный ремонт;Производственного и непроизводственного назначения;Среднеэтажный многоквартирный жилой дом;1.12.2021
МГЭ/34882-1/5;0.0-0-0;МАССА МУСОРА (ВОЗВРАТНЫЕ СРЕДСТВА);т;43,38424;77-10175/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 5 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Многоэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34879-1/5;0.0-0-0;МАССА МУСОРА (ВОЗВРАТНЫЕ СРЕДСТВА);т;4,46048;77-10172/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 3 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Среднеэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34879-1/5;0.0-0-0;МАССА МУСОРА;т;226,848;77-10172/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 3 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Среднеэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34877-1/5;0.0-0-0;МАССА МЕТАЛЛА (ВОЗВРАТНЫЕ СРЕДСТВА);т;1,058;77-10171/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 4 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Многоэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34877-1/5;0.0-0-0;МАССА МУСОРА;т;9,66;77-10171/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 4 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Многоэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34882-1/5;0.0-0-0;МАССА МУСОРА;т;226,848;77-10175/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 5 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Многоэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34877-1/5;0.0-0-0;МАССА МУСОРА;т;22,08;77-10171/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 4 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Многоэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34877-1/5;0.0-0-0;МАССА МУСОРА;т;2,76;77-10171/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 4 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Многоэтажный многоквартирный жилой дом;1.13.2021
МГЭ/34877-1/5;0.0-0-0;МАССА МУСОРА (ВОЗВРАТНЫЕ СРЕДСТВА);т;11,73136;77-10171/20-(0)-0;Капитальный ремонт многоквартирного дома. г. Москва, улица Строителей, д. 4, к. 4 (ЮЗАО, Гагаринский);Капитальный ремонт;Производственного и непроизводственного назначения;Многоэтажный многоквартирный жилой дом;1.13.2021
